iter	RMSE
0	0.0008531648913
1	0.0008527559107
2	0.0008520478336
3	0.0008516223838
4	0.0008512301408
5	0.0008499284201
6	0.0008492977466
7	0.0008489121457
8	0.0008485900264
9	0.0008482070228
10	0.0008478599088
11	0.0008465812155
12	0.0008460915011
13	0.0008448526175
14	0.0008441359343
15	0.0008437002844
16	0.0008434008276
17	0.0008430810835
18	0.0008427692146
19	0.0008417536328
20	0.00084128086
21	0.0008409738013
22	0.0008406941185
23	0.0008404790181
24	0.0008401686306
25	0.0008397620306
26	0.0008395132677
27	0.0008393020068
28	0.000839089167
29	0.0008389255312
30	0.0008387231749
31	0.0008376453374
32	0.0008367851348
33	0.0008364886702
34	0.0008362600076
35	0.0008359978554
36	0.000835457456
37	0.0008349047041
38	0.0008345507866
39	0.0008341340318
40	0.0008339574691
41	0.000833743326
42	0.0008328672192
43	0.0008326991016
44	0.0008323864504
45	0.0008320624459
46	0.0008317792029
47	0.0008308172598
48	0.0008306356263
49	0.0008303974394
50	0.0008292759048
51	0.0008284830451
52	0.0008275561066
53	0.0008274189389
54	0.0008266974601
55	0.0008265110016
56	0.0008263761932
57	0.0008259861209
58	0.0008256121064
59	0.0008253549123
60	0.0008244259867
61	0.0008234811427
62	0.0008233337282
63	0.0008232152494
64	0.0008227962037
65	0.000822504365
66	0.0008221206169
67	0.0008214979535
68	0.0008211663593
69	0.0008210437089
70	0.0008209367934
71	0.0008203679452
72	0.0008202155653
73	0.0008199768921
74	0.0008192042501
75	0.0008190211824
76	0.0008187029198
77	0.0008184114338
78	0.0008181426762
79	0.0008179434221
80	0.0008177727864
81	0.0008170835315
82	0.0008169352971
83	0.0008166874819
84	0.0008165257893
85	0.0008162738107
86	0.0008159911109
87	0.0008153975197
88	0.0008151598389
89	0.000814938918
90	0.0008148205181
91	0.0008147147474
92	0.000814523239
93	0.0008141975317
94	0.0008140424617
95	0.0008137916482
96	0.0008135867468
97	0.0008134378035
98	0.0008132440928
99	0.0008128140589
100	0.0008125086204
101	0.0008123184874
102	0.0008121856151
103	0.0008120938886
104	0.0008118119459
105	0.0008116276308
106	0.0008114766061
107	0.0008113062481
108	0.0008112054519
109	0.0008110007294
110	0.0008107452105
111	0.000810421453
112	0.0008103033937
113	0.0008100543228
114	0.0008099325372
115	0.0008094185714
116	0.0008092920546
117	0.0008091314671
118	0.0008089809666
119	0.000808706504
120	0.0008085084632
121	0.0008081618125
122	0.0008079364733
123	0.0008077638477
124	0.0008075474666
125	0.0008071954642
126	0.0008070825844
127	0.0008069163249
128	0.00080672345
129	0.0008065935857
130	0.0008064854887
131	0.0008063649997
132	0.0008062351455
133	0.0008059749286
134	0.0008057814249
135	0.0008055797276
136	0.0008051520905
137	0.0008048279807
138	0.0008046516002
139	0.0008045397725
140	0.0008043576421
141	0.0008040471741
142	0.0008036923536
143	0.0008035114796
144	0.0008034200501
145	0.0008032907732
146	0.0008031877927
147	0.0008029443439
148	0.0008027843652
149	0.0008024820437
150	0.0008022825801
151	0.0008020211997
152	0.0008015630631
153	0.0008014997844
154	0.0008012532839
155	0.0008010875471
156	0.00080095125
157	0.0008002625736
158	0.0008001774315
159	0.0007998534378
160	0.0007997084782
161	0.0007995005232
162	0.0007993890385
163	0.0007986019855
164	0.0007978635825
165	0.0007974162425
166	0.0007972052143
167	0.0007965907326
